"","Participant","Gender","Instrument","Age","DFS_Flow","DFS_Balance","DFS_Merging","DFS_Goals","DFS_Feedback","DFS_Concentration","DFS_Control","DFS_Consciousness","DFS_Time","DFS_Autotelic","F1_Flow","F1_Balance","F1_Merging","F1_Goals","F1_Feedback","F1_Concentration","F1_Control","F1_Consciousness","F1_Time","F1_Autotelic","F2_Flow","F2_Balance","F2_Merging","F2_Goals","F2_Feedback","F2_Concentration","F2_Control","F2_Consciousness","F2_Time","F2_Autotelic","F3_Flow","F3_Balance","F3_Merging","F3_Goals","F3_Feedback","F3_Concentration","F3_Control","F3_Consciousness","F3_Time","F3_Autotelic","Flow_average","NF1_Flow","NF1_Balance","NF1_Merging","NF1_Goals","NF1_Feedback","NF1_Concentration","NF1_Control","NF1_Consciousness","NF1_Time","NF1_Autotelic","NF2_Flow","NF2_Balance","NF2_Merging","NF2_Goals","NF2_Feedback","NF2_Concentration","NF2_Control","NF2_Consciousness","NF2_Time","NF2_Autotelic","NF3_Flow","NF3_Balance","NF3_Merging","NF3_Goals","NF3_Feedback","NF3_Concentration","NF3_Control","NF3_Consciousness","NF3_Time","NF3_Autotelic","NF_average","GMSI_F1","GMSI_F2","GMSI_F3","GMSI_F4","GMSI_F5","GMSI_FG","tot_tei","well_being","self_control","emotionality","sociability","Extrav","Agree","Consc","Emot","Open","Age_start_musical_education","Hours_practice","Age_start_main_instrument","Years_played","Prize_won","Number_prizes","Music_perf_degree","Undergrad_Postgrad","Music_perf_degree_past","Flow_liking","Flow_familiarity","Non_liking","Non_familiarity","Comments","Q8a","GoldMSI_hours","delta","theta","alpha_lower","alpha_upper","beta","gamma_lower","gamma_upper","DF_tw1","DF_tw2","DNF_tw1","DNF_tw2","A2F_tw1","A2F_tw2","A2NF_tw1","A2NF_tw2","BF_tw1","BF_tw2","BNF_tw1","BNF_tw2","GF_tw1","GF_tw2","GNF_tw1","GNF_tw2","Flow_NF_Difference","RFlow_NF","NFlow_NF","DF_60s_1","DNF_60s_1","A2F_60s_1","A2NF_60s_1","BF_60s_1","BNF_60s_1","GF_60s_1","GNF_60s_1","DF_DNF","AF_ANF","BF_BNF","GF_GNF","logA2F_tw1","logA2F_tw2","logA2NF_tw1","logA2NF_tw2","logBF_tw1","logBF_tw2","logBNF_tw1","logBNF_tw2","logGF_tw1","logGF_tw2","logGNF_tw1","logGNF_tw2","logA2F_60s_1","logA2NF_60s_1","logA2F_A2NF_60s_1","RDFS_Flo","NDFS_Flo","FminusNFA2t1","FminusNFA2t2","FminusNFDt1","FminusNFDt2","FminusNFBt1","FminusNFBt2","FminusNFGt1","FminusNFGt2","FminusNFlogGt2","FminusNFlogBt2","logDF_tw1","logDF_tw2","logDNF_tw1","logDNF_tw2","FminusNFlogDt1","RFlow_av","NFlow_av","RNF_aver","NNF_aver","FMTheta_rel","flow_right_cluster","nonflow_right_cluster"
"1","AT",2,"Trombone",21,3.555555556,4,3.25,4,4,3.25,3.25,2.5,3.75,4,3.722222222,4,4,4,4,3.5,3.5,4,3.25,3.25,4.194444444,5,4,4.25,4.5,4.25,3.5,4.25,4,4,3.972222222,4.5,4,4,4,4,3.5,4,4,3.75,3.96296296266667,3.305555556,3.75,3,4,4,2.5,3,3.5,3.75,2.25,3.444444444,4,2.75,3.25,4,3,3.25,4,4,2.75,3.555555556,4,3.5,3.25,4,3.25,3.25,4,4,2.75,3.43518518533333,60,63,36,42,47,114,4.86666666666667,5,5.33333333333333,3.875,5,4.5,4.5,4,5,3.5,8,2,10,11,2,0,2,1,2,10,9,7,8,"",3.5,6,0.107867782730543,0.022800619109848,-0.070067663176631,-0.155490377981302,-0.013322487129121,0.003877879392853,-0.029707969002812,11.3356415416172,11.89900167911,12.392951094173,9.24286110456405,2.4514321187021,2.59131534928346,1.98908187554003,3.46721407183478,0.12236291873226,0.122362052202398,0.115007700308828,0.173582994390666,0.107938919661548,0.131004920069868,0.139759903688181,0.0791390841241407,0.527777777333334,27,2,12.1897671370201,11.8014017241127,2.24007630837372,2.29807223054573,0.110998996277057,0.121533126927427,0.132769645997558,0.121978354236874,0.388365412907399,-0.0579959221720099,-0.01053413065037,0.010791291760684,0.38941987193208,0.413520267528483,0.298652660129663,0.539980656581821,-0.912350172303601,-0.91235324783068,-0.939273080605733,-0.760492824113746,-0.96682193301322,-0.882712393511646,-0.854617407307509,-1.10160898012677,0.350262812861466,0.361363674845933,-0.0111008619844671,29,2,0.46235024316207,-0.87589872255132,-1.0573095525558,2.65614057454595,0.00735521842343201,-0.051220942188268,-0.031820984026633,0.0518658359457273,0.218896586615123,-0.151860423716934,1.05444610409199,1.07551052580924,1.09317473585999,0.965806426803278,-0.0387286317679993,26,2,19,1,2.9207256996651,0.067721949,0.020998926
"2","CBC",1,"Recorder",18,3.805555556,4,3.75,4,4,3.25,4,4,3.25,4,3.472222222,2.75,3.25,4,4,3.75,4,2.75,3,3.75,3.527777778,3,3.75,3.75,4,3.5,4,3,2.75,4,3.583333333,2.75,4,3.75,4,4,4,3,2.75,4,3.52777777766667,2.805555556,3.5,4,2,4.5,2.25,3.5,3,1.25,1.25,2.805555556,3,3.5,2.25,4,2.25,4,3,1.5,1.75,2.944444444,2.75,3.75,2.25,4,3,4.25,3,1.75,1.75,2.851851852,53,62,43,38,40,110,4.23333333333333,5.33333333333333,3,4.5,3.33333333333333,5,3,2.5,3,5,5,0.5,5,13,1,40,2,0,2,8,9,2,9,"",7,5,0.008553777616973,-0.078358948518748,-0.030716180836288,-0.150130372526594,0.074177987557559,0.196704369405841,0.022324161940688,11.2914039352367,11.8554099711468,11.423549397984,11.3391891737377,1.39178359053897,1.43733418342334,1.22390350630075,1.41538625545597,0.197705269346187,0.141947553915403,0.169524380904317,0.175885892843453,0.128277594182862,0.0579787737761151,0.0877409917688238,0.0665913726752739,0.675925925666666,24.5,2,11.7132060129743,11.5326478442613,1.4007196131455,1.28981875174771,0.162811072710911,0.16560410410301,0.0893391769857762,0.0761518668614921,0.180558168713,0.11090086139779,-0.00279303139209899,0.0131873101242841,0.143571711753487,0.157557754316132,0.0877471789753428,0.15087497393943,-0.703981755484125,-0.847872086971839,-0.77076783297266,-0.754768992298852,-0.891849193761568,-1.23673097400859,-1.05679746091246,-1.17658203272493,0.14635120976793,0.110528686542522,0.0358225232254084,17,1,0.16788008423822,0.02194792796737,-0.132145462747301,0.516220797409099,0.02818088844187,-0.03393833892805,0.0405366024140382,-0.0086125988991588,-0.06014894128366,-0.0931030946729867,1.05274794399931,1.07391657688259,1.05780106401993,1.05458200076842,-0.00505312002062075,39,2,39,2,2.46256376417702,0.010753686,-0.062105226
"3","CC",1,"Voice",26,3.638888889,3.75,3.5,4,3.75,3.75,4,2.75,3.25,4,3.472222222,3.75,3.75,3.25,3.75,3.5,4,4,2.5,2.75,3.694444444,4,3.5,3.5,3.75,4,3.5,4,3.5,3.5,3.861111111,4,3.25,4,3.75,4,4,4,3.75,4,3.67592592566667,3.333333333,2,4,4,3.75,3.5,4,4,2.75,2,3.305555556,2,4,3.75,3.5,3,4,4,3,2.5,3.361111111,2,4,4,3.75,3.25,4,4,3,2.25,3.33333333333333,47,56,34,34,43,105,5.56666666666667,5.16666666666667,5.5,6,5,5.5,6,6.5,6,6,20,0.5,14,12,1,1,2,0,1,8,7,4,7,"",3.5,2,-0.0261294968022959,-0.039868350641107,-0.0151790136470001,0.0306318197948957,0.0707451506379655,0.114012720176897,0.0591140414609603,8.82951220615943,9.73350723359608,10.3485667017321,10.6408771185122,2.09386292462982,1.84905758636518,2.46591116122222,2.14929782816892,0.349748019324287,0.290902542056164,0.262306348176807,0.224136479912269,0.127859279669145,0.0885789949304094,0.13960194754553,0.10936903814508,0.342592592333333,34,2,9.32946745569929,10.6417168716484,1.95769140602863,2.27243297100465,0.318934818953391,0.237622767769097,0.106196782141348,0.1230317385873,-1.31224941594911,-0.31474156497602,0.081312051184294,-0.016834956445952,0.320948247053692,0.266950436876417,0.391977426320558,0.332296599841479,-0.456244736304236,-0.536252483647609,-0.581191198754687,-0.649487452990853,-0.893267746614157,-1.05266925178499,-0.855108522956575,-0.96110560730689,0.291744234340815,0.356491081882066,-0.064746847541251,25,2,-0.3720482365924,-0.30024024180374,-1.51905449557267,-0.90736988491612,0.08744167114748,0.066766062143895,-0.011742667876385,-0.0207900432146706,-0.0915636444780963,0.113234969343244,0.94593671127576,0.988269355966754,1.01488020325829,1.02697742796181,-0.0689434919825265,35,2,21,1,1.68931817968621,-0.038798167,0.125920364
"4","CC01",1,"Viola",18,3.555555556,4,4,3.25,3.25,3,3.25,3.25,4,4,3.5,4,4,3.75,3.75,2,3.5,3.5,3,4,3.361111111,3.75,4.25,3,3.5,2,2.25,4,4,3.5,3.722222222,4,4,3,3.25,3.5,3.5,4,4,4.25,3.52777777766667,2.916666667,3.5,2.75,3.25,3.5,2,3,2.25,3.5,2.5,3.166666667,4,2,3.5,3.5,3,3.75,2.75,2.75,3.25,2.972222222,2.75,2.75,3.5,3.75,2.75,3,2.75,3.5,2,3.01851851866667,43,50,35,32,34,90,4.93333333333333,5.5,4.83333333333333,4.75,4.5,6,5.5,5,6,5.5,5,0.429,8,10,2,0,2,0,2,9,7,8,5,"",3,4,-0.0592962170080512,-0.00123174659370566,0.177510583314962,0.087197876359002,0.000981475158667866,-0.0946200815795844,-0.174012746453823,8.92966238879343,6.83347825260214,8.82324766749475,7.47635516231991,4.97084314321222,3.98207959491678,4.91088287687743,4.25784066497773,0.202306913078146,0.287205214146817,0.211502206408029,0.249468229581048,0.122335535395174,0.120548696394568,0.129264910679874,0.162127069586487,0.509259259,29,2,8.18497981687701,8.32102927302827,4.5212683859503,4.55036083404564,0.234072265400064,0.228054053985731,0.120487357272815,0.144549029855156,-0.136049456151259,-0.0290924480953398,0.00601821141433301,-0.024061672582341,0.696430059032747,0.600109936577295,0.691159576458544,0.629189405431171,-0.69398927659452,-0.54180767983839,-0.67468509767034,-0.602984755035335,-0.912447373017718,-0.918837481692225,-0.888519349568679,-0.790144467011152,0.655260287852181,0.658045836661821,-0.00278554880963999,29,2,0.05996026633479,-0.27576107006095,0.10641472129868,-0.642876909717771,-0.009195293329883,0.037736984565769,-0.0069293752847,-0.041578373191919,-0.128693014681073,0.061177075196945,0.95083503946461,0.834641816624588,0.945628469991403,0.873689924243977,0.00520656947320708,39,2,34,2,2.09667144986404,0.19097878,-0.056814226
"5","CG",1,"Cello",27,3.888888889,4,4,4,4,4,4,4,3.25,3.75,4.027777778,4,4.5,4,4.25,4,4,4.75,3,3.75,4.722222222,4.5,5,4.75,5,5,5,5,4,4.25,4.694444444,5,5,5,4.75,5,4.5,5,4,4,4.48148148133333,3.472222222,3.472222222,4,3.25,3.75,4,2.75,3.5,5,2,3.666666667,4,3.75,4,4,3.75,3.5,5,2.25,2.75,3.944444444,4,4,4,4,4,4,5,3,3.5,3.69444444433333,42,57,45,37,42,106,4.93333333333333,5.83333333333333,5,4.75,4.33333333333333,4.5,5.5,4.5,5.5,5.5,4,3,10,17,2,0,2,0,1,10,10,10,8,"",21,6,0.0752958074448249,0.0246389782374143,-0.00454409854140989,-0.081188169272665,-0.0593822735066069,-0.0614171200339527,-0.131830121318114,13.5069414343274,13.5006463160031,13.4665420541911,13.4553908334638,1.56104229333648,1.14532760730815,2.21041228836807,2.53022841176772,0.0904116095230335,0.0881938300050429,0.10377379732934,0.0970086640490608,0.112835102740936,0.0939032257159797,0.10082973080985,0.0905824851131291,0.787037037,21,1,13.5308279462962,13.4736152201344,1.31854014446109,2.36088391590127,0.0868523702579391,0.100025339551209,0.102194675015973,0.0959889981548166,0.057212726161799,-1.04234377144018,-0.0131729692932699,0.0062056768611564,0.193414669567115,0.0589297292049468,0.344473286293005,0.40315972808994,-1.04377579930268,-1.05456179682388,-0.983912291110202,-1.01318947624238,-0.947555771318001,-1.02731948881389,-0.996411392266903,-1.04295576870369,0.120093356922415,0.373074633447666,-0.252981276525251,14.5,1,-0.64936999503159,-1.38490080445957,0.0403993801363001,0.0452554825393001,-0.0133621878063065,-0.00881483404401791,0.012005371931086,0.00332074060285061,0.0156362798898046,-0.0413723205814998,1.1305570167809,1.13035455995833,1.12925609167107,1.12889631706458,0.00130092510982993,8,1,9,1,1.52817895283989,-0.038804395,0.002969052
"6","CG01",1,"Violin",33,3.472222222,4,4,3.75,4.25,3.75,3.5,3,1.5,3.5,3.166666667,3.25,3.5,3.5,4,2.75,3.75,3,1.75,3,3.805555556,4,4,4,4,4,3.75,4,3,3.5,4,4,4,4,4,4,4,4,3.75,4.25,3.65740740766667,3.916666667,4,4,4,4,4.25,4,4,3.25,3.75,3.611111111,3.75,3.5,4,4.25,4,3.25,3.75,3,3,3.055555556,3.5,3.5,3.75,4,1.5,2.75,3,2.75,2.75,3.527777778,44,52,38,39,36,95,5.6,5.66666666666667,5,6.125,5.5,5,7,6,5,6,9,1,9,24,2,0,2,0,1,8,8,9,8,"",7,7,0.0329163071310656,-0.114933315768068,-0.070789249368661,-0.0387172662523224,-0.238294992264629,-0.148030743639304,0.235390950361991,9.19448135874982,10.7375523646017,10.9927796332738,11.860448641476,1.71787288129564,0.812603058195001,2.07030363477364,1.06733267330232,0.499781773163648,0.400103391635084,0.390893967779587,0.321113628681647,0.20155360280254,0.244711057829875,0.173419291586764,0.227248871164245,0.129629629666667,39,2,10.0036785386559,11.4696412409347,1.24557174786091,1.54461552563939,0.447955650931218,0.356020236123178,0.22599242044329,0.20084591996485,-1.4659627022788,-0.29904377777848,0.09193541480804,0.02514650047844,0.234991023875669,-0.0901215475588143,0.316034044604891,0.0282998042990505,-0.301219586462453,-0.397827767135978,-0.407941031487049,-0.493341261747016,-0.695609434358968,-0.611346405613506,-0.760902592190523,-0.643498265414497,0.0953687489762013,0.188820395817404,-0.0934516468412026,32,2,-0.352430753478,-0.254729615107319,-1.79829827452398,-1.1228962768743,0.108887805384061,0.078989762953437,0.028134311215776,0.01746218666563,0.0321518598009904,0.0955134946110383,0.963527236631664,1.03090529479991,1.04110752197363,1.0741011172603,-0.0775802853419649,37,2,12,1,0.605235960639363,0.041630167,-0.007376686
"7","CP",2,"Jazz Piano",22,4.277777778,4,4,4,5,4,4,5,4,4.5,3.75,3.5,4.25,3,3,4,3.5,5,3.75,3.75,3.972222222,3.25,4.75,2.75,3.5,4.25,3,5,4.75,4.5,3.583333333,3,4.25,2,3.25,4,2.25,5,4.25,4.25,3.76851851833333,3.194444444,2,2,2.75,3,4.75,2,5,3.75,3.5,2.944444444,2,1.75,2.75,4,4.25,2,4,3.75,2,3.083333333,2,2,3,3.5,4.25,2,4.25,4,2.75,3.07407407366667,49,56,47,31,39,108,5.56666666666667,6.33333333333333,5.16666666666667,4.875,5.66666666666667,5.5,5,5,6.5,6.5,5,3,5,17,1,2,1,2,1,8,8,8,5,"",8,7,0.0368118700509415,0.0145492006838644,0.0808850815178805,-0.0177636329558865,-0.106249056083042,-0.282309247715811,-0.448170347501118,14.1923592883956,13.1713955789798,14.7135741715929,14.0259109056788,1.45670289674502,1.35506722353384,0.908821153314454,1.48077523957709,0.0794121855565893,0.114776789239518,0.0667028501203298,0.086714411891766,0.123528992662014,0.114835012935822,0.365205909230439,0.176822715936295,0.694444444666666,23,2,13.9276594662644,14.6061650843889,1.33430119277062,1.09234568989787,0.0856690752696735,0.0697419698461658,0.119372165607192,0.291866731775298,-0.6785056181245,0.24195550287275,0.0159271054235077,-0.172494566168106,0.163370983848542,0.131960840661071,-0.041521573071407,0.170489143856042,-1.10011285130168,-0.940145928352465,-1.17585560888574,-1.06190871699995,-0.908231100093411,-0.939925676341695,-0.437462203959728,-0.752461943100853,0.125253874253432,0.0383600994098369,0.0868937748435955,7.5,1,0.547881743430566,-0.12570801604325,-0.521214883197299,-0.854515326699,0.0127093354362595,0.028062377347752,-0.241676916568425,-0.061987703000473,-0.187463733240842,0.121762788647482,1.15205459706153,1.11963179319561,1.16771818288743,1.14693107587925,-0.015663585825896,32,2,33,2,1.72388456460674,0.060225687,-0.080758408
"8","DB",2,"Trumpet",24,3.916666667,4,3.75,4.75,4.25,4,3.25,3,3.75,4.5,4.083333333,4,3.5,4,4,4,3.75,4.25,5,4.25,4.138888889,4,4,4.5,4,3.75,3.25,4.5,5,4.25,3.861111111,3.75,3.5,4.75,4,2.75,3,4.5,4.5,4,4.02777777766667,3.444444444,3.25,3.25,3.5,4,3,3.5,4,4,2.5,3.25,2.75,3.5,4,4,2.25,3,3,4,2.75,3,2.75,2.25,4,4,3.5,2.75,2.25,3,2.5,3.23148148133333,59,51,45,36,39,114,6,6.33333333333333,5.66666666666667,5.875,5.5,5.5,4,5.5,6.5,7,10,5,11,13,1,2,2,0,1,7,9,3,7,"",3,7,-0.0722138298685083,0.000648435593432839,0.366728711886751,0.271590111458741,0.0533828171129245,0.192074548519883,0.232050729473347,7.51734060188407,6.90925446302688,9.44326469991765,8.77586968892599,4.03202375091967,2.7057943804352,3.10017968901351,2.84025348340686,0.21004344440909,0.185454438566144,0.169104534608315,0.170914009995995,0.297206306599432,0.206270594659829,0.272834078832789,0.194253518410799,0.796296296333333,20,1,7.30535550146017,10.020872711655,3.32563274269551,2.78706389431565,0.197221105724577,0.152702466222402,0.250696624510029,0.236928523397972,-2.71551721019483,0.53856884837986,0.044518639502175,0.013768101112057,0.605523081687214,0.432294790474718,0.491386866636018,0.453357101149953,-0.677690868524402,-0.731762768041944,-0.771844746459242,-0.767222336257786,-0.526941979257784,-0.685562679381186,-0.564101384291711,-0.711631106310539,0.521874287388819,0.445146925164913,0.0767273622239063,12,1,0.93184406190616,-0.13445910297166,-1.92592409803358,-1.86661522589911,0.040938909800775,0.014540428570149,0.024372227766643,0.01201707624903,0.0260684269293536,0.0354595682158425,0.876064228065392,0.839431187741552,0.975122163370628,0.94329016586559,-0.099057935305236,22,1,30,2,2.29746418210892,0.280092315,0.105250006
"9","DG",1,"Guitar/Voice",23,3.666666667,3,3.5,4,4,3.75,3.75,3,4,4,3.5,3.5,3.75,4,4,4,3.75,2.5,2.75,3.25,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.83333333333333,3.388888889,3.25,4,3.5,3.75,3.75,4,3.5,2.75,2,3.555555556,4,4,4,4,4,4,4,2,2,3.5,4,4,4,4,4,4,3.5,2,2,3.48148148166667,38,41,39,28,32,88,5.5,6.66666666666667,5.83333333333333,5,4.16666666666667,3.5,6.5,7,7,5.5,7,0.36,13,10,2,0,2,0,2,10,9,6,9,"",2.5,5,0.0444118317413088,-0.0831880058023512,-0.0266586581989926,0.0213995249699917,0.0224718233875858,0.0114257032222127,0.00620030909856979,13.5029412840147,7.36815549524156,8.06968193302637,8.73778355414265,1.01468546193508,1.75918966189198,1.6177473834267,1.23573390944403,0.11701082132841,0.256221520751275,0.308188165373726,0.307357784014463,0.265136324943649,0.193788326525539,0.32519479646056,0.230604766927922,0.351851851666667,33,2,12.771406245609,8.39713687285066,1.14934057612202,1.44014425819517,0.136719559885537,0.301406447387524,0.245854133254808,0.286976862340711,4.37426937275834,-0.29080368207315,-0.164686887501987,-0.041122729085903,0.00633143799689939,0.245312664171937,0.208910706059218,0.0919249641984311,-0.931773972220558,-0.591384395469546,-0.511184042488362,-0.512355783643756,-0.576530767771025,-0.712672387647667,-0.487856412298589,-0.637131719465021,0.0604487392310834,0.158405997234276,-0.0979572580031924,24,2,-0.60306192149162,0.52345575244795,5.43325935098833,-1.36962805890109,-0.191177344045316,-0.051136263263188,-0.060058471516911,-0.036816440402383,-0.075540668182646,-0.0790286118257906,1.1304283791827,0.867358782499975,0.906856417317637,0.941401282487794,0.223571961865066,29,2,14,1,2.01274731632627,0.069690126,-0.106540859
"10","EB",1,"Violin",22,3.527777778,3.75,4,3.25,3,3.5,3,3,4,4.25,3.472222222,3.25,3.75,4,3,3.25,3,3.25,4,3.75,3.972222222,4,4.5,4,3.75,4,3,4,4.5,4,4.027777778,3.75,4,4,3.75,4,4,4,4.75,4,3.824074074,3.472222222,4,3.5,3.75,4,3.5,3.5,3.75,2.25,3,3.444444444,4,3.25,3.75,4,3.5,3.75,3.5,2.25,3,3.027777778,3.25,3.5,3,3,3,3,3.25,2.25,3,3.31481481466667,46,58,42,39,43,105,5.4,6,4,5.75,5,5,4.5,6,3,6,5,0.86,5,17,2,0,2,0,2,8,6,6,5,"",6,6,0.0488188240859505,-0.103023416750836,-0.0919511356095529,-0.120832454345301,-0.074021610287614,-0.0622437753997789,-0.0547823926877373,12.49099703556,12.3603593139154,14.3860659828569,13.9842262328792,0.236297107781637,0.400012513326223,0.17680672484306,0.271563561099599,0.167819024588324,0.154193352611137,0.0632086544522917,0.0937416798650875,0.365500015492428,0.108334107099306,0.195995466795571,0.111638196214222,0.509259259333333,28,2,12.6972058061581,14.4158934158691,0.276354295622388,0.199768636841549,0.155848347401876,0.0659896830885566,0.30094915801364,0.164797934477574,-1.718687609711,0.076585658780839,0.0898586643133194,0.136151223536066,-0.626541593992525,-0.397926422713221,-0.752501220619947,-0.566128504918235,-0.775158807479959,-0.8119343486361,-1.1992234545728,-1.02806726812325,-0.437112600297705,-0.965234791823014,-0.707753973380444,-0.95218718920722,-0.558533780401546,-0.699472693866859,0.140938913465313,31,2,0.059490382938577,0.128448952226624,-1.8950689472969,-1.6238669189638,0.104610370136032,0.0604516727460495,0.169504548696857,-0.00330408911491599,-0.0130476026157943,0.216132919487145,1.09659710528848,1.09203109581611,1.15794204789615,1.14563844124115,-0.0613449426076775,31,2,24,2,0.525559965513934,0.098307965,-0.048712441
