".y.","group1","group2","n1","n2","statistic","df","p"
"DFS_Flow","0","1",34,10,-0.321492213139042,12.5803719554022,0.753
"DFS_Balance","0","1",34,10,0.244813690957914,14.9490988697995,0.81
"DFS_Merging","0","1",34,10,0.195570095471694,16.3375604277352,0.847
"DFS_Goals","0","1",34,10,1.69360584499577,17.4741533380019,0.108
"DFS_Feedback","0","1",34,10,-0.104232625773668,14.1944955400131,0.918
"DFS_Concentration","0","1",34,10,-0.357930241255224,12.4572931290571,0.726
"DFS_Control","0","1",34,10,-0.95577304122597,13.2819969582122,0.356
"DFS_Consciousness","0","1",34,10,-0.445499825375764,12.5036344979385,0.664
"DFS_Time","0","1",34,10,-1.05147614886691,16.102257186222,0.309
"DFS_Autotelic","0","1",34,10,-1.12691658168805,14.7518335702009,0.278
